text,airline_sentiment
"['flight', '769', 'way', 'supposed', 'take', '30', 'minute', 'ago', 'website', 'still', 'show', 'time', 'flight', 'thanks']",neutral
"['julie', 'andrew', 'way', 'though', 'impressive']",positive
"['wish', 'flew', 'atlanta', 'soon']",neutral
"['julie', 'andrew', 'hand']",neutral
"['flight', 'leaving', 'dallas', 'la', 'february', '24th']",neutral
"['hi', 'excited', '99', 'lgagtdal', 'deal', 'trying', '2', 'book', 'since', 'last', 'week', 'amp', 'page', 'never', 'load', 'thx']",negative
"['know', 'need', 'spotify', 'stat', 'guiltypleasures']",positive
"['lady', 'gaga', 'amazing', 'smiling', 'face', 'smiling', 'eye']",positive
['carrie'],neutral
"['new', 'marketing', 'song', 'let', 'u', 'know', 'think']",neutral
"['julie', 'andrew', 'first', 'lady', 'gaga', 'word', 'last', 'night', 'carrie', 'meh']",neutral
"['called', '34', 'week', 'ago', 'adding', '3', 'flight', '2014', 'elevatethey', 'still', 'shown', 'upheld']",negative
"['great', 'go', 'carrieunderwood', 'smiling', 'face', 'hearteyes', 'ok', 'hand']",neutral
"['sorry', 'mary', 'martin', 'first']",neutral
"['love', 'three', 'really', 'can', 'not', 'beat', 'classic']",positive
"['flight', '0736', 'dallas', 'washington', 'dc', '224', '210pm', 'tried', 'check', 'could', 'status', 'please']",neutral
"['yyyy', 'guyyyys', 'trying', 'get', 'hour', 'someone', 'call', 'please', 'skeptical', 'annoyed', 'undecided', 'uneasy', 'hesitant']",negative
"['hi', 'virgin', 'hold', '4050', 'minute', 'earlier', 'flight', 'la', 'new', 'york', 'city', 'tonight', 'earlier', '1150pm']",negative
"['contrast', 'winning', 'award', 'best', 'deal', 'airline', 'u']",positive
"['everything', 'fine', 'lost', 'bag']",negative
"['need', 'change', 'reservation', 'virgin', 'credit', 'card', 'need', 'modify', 'phone', 'waive', 'change', 'fee', 'online']",neutral
"['emailed', 'customer', 'service', 'team', 'let', 'know', 'need', 'tracking', 'number']",neutral
"['hi', 'booked', 'flight', 'need', 'add', 'baggage']",neutral
"['airline', 'awesome', 'los', 'angeles', 'airport', 'loft', 'need', 'step', 'game', '40', 'dirty', 'table', 'floor']",negative
"['worried', 'great', 'ride', 'new', 'plane', 'great', 'crew', 'airline', 'like']",positive
"['awesome', 'flew', 'all', 'sat', 'morning', 'way', 'correct', 'bill']",positive
"['watch', 'best', 'student', 'film', 'country', '35000', 'foot', 'cat35000feet']",neutral
"['first', 'time', 'flying', 'different', 'ratepolicy', 'medium', 'bag', 'thanks']",neutral
"['going', 'customer', 'service', 'anyway', 'speak', 'human', 'asap', 'thank']",negative
"['happened', 'doom']",neutral
"['can', 'not', 'supp', 'biz', 'traveler', 'like', 'customer', 'service', 'like', 'neverflyvirginforbusiness']",negative
"['applied', 'member', 'flight', 'crew', 'teamid', '100', 'interested', 'flightattendant', 'dreampath', 'g']",positive
"['best', 'whenever', 'begrudgingly', 'use', 'airline', 'delayed', 'late', 'flight', 'brown', 'sad', 'angry', 'posting']",negative
"['interesting', 'flying', 'cancelled', 'flight', 'next', 'four', 'flight', 'plannedneverflyvirginforbusiness']",negative
"['disappointing', 'experience', 'shared', 'every', 'business', 'traveler', 'meet', 'neverflyvirgin']",negative
"['im', 'trouble', 'adding', 'flight', 'wife', 'booked', 'elevate', 'account', 'help']",negative
"['can', 'not', 'bring', 'reservation', 'online', 'using', 'flight', 'booking', 'problem', 'code']",neutral
"['random', 'q', 'distribution', 'elevate', 'avatar', 'bet', 'kitty', 'disproportionate', 'share']",neutral
"['lt3', 'flying', 'va', 'life', 'happens', 'trying', 'change', 'trip', 'peri', 'help', 'home', 'page', 'let']",neutral
"['site', 'back']",negative
"['rn', 'yeah', 'know']",neutral
"['hi', 'get', 'point', 'elevate', 'account', 'recent', 'flight', 'add', 'flight', 'point', 'account']",neutral
"['like', 'tv', 'interesting', 'video', 'disappointed', 'cancelled', 'lighted', 'flight', 'flight', 'went', 'jfk', 'saturday']",negative
"['landed', 'lax', 'hour', 'late', 'flight', 'bag', 'check', 'business', 'travel', 'friendly', 'nomorevirgin']",negative
"['flight', '345', 'redirected']",neutral
"['website', 'btw', 'new', 'website', 'great', 'user', 'experience', 'time', 'another', 'redesign']",negative
"['can', 'not', 'check', 'add', 'bag', 'website', 'working', 'tried', 'desktop', 'mobile']",negative
"['let', '2', 'scanned', 'passenger', 'leave', 'plane', 'told', 'someone', 'remove', 'bag', '1st', 'class', 'bin', 'uncomfortable']",negative
"['phone', 'number', 'can', 'not', 'find', 'call', 'flight', 'reservation']",negative
"['anyone', 'anything', 'today', 'website', 'useless', 'one', 'answering', 'phone']",negative
"['trying', 'add', 'boy', 'prince', 'jessie', 'sf', 'thursday', 'los', 'angeles', 'airport']",neutral
"['must', 'traveler', 'miss', 'flight', 'late', 'flight', 'check', 'bag', 'missed', 'morning', 'appointment', 'lost', 'business', 'sfo2lax']",negative
"['check', 'new', 'music']",neutral
"['direct', 'flight', 'fllgtsfo', 'unexpected', 'layer', 'vega', '4', 'fuel', 'yet', 'keep', 'next', 'bought', 'vega', 'flight', 'sneaky']",negative
"['late', 'flight', 'bag', 'check', 'lost', 'business', 'missed', 'flight', 'apt', 'three', 'people', 'flight', 'exp']",negative
"['amazing', 'customer', 'service', 'two', 'heart', 'two', 'heart', 'ireann', 'sf', 'best', 'customerservice', 'virginamerica', 'flying']",positive
"['called', 'service', 'line', 'hung', 'awesome', 'sarcasm']",negative
"['site', 'tripping', 'trying', 'check', 'getting', 'plain', 'text', 'version', 'reluctant', 'enter', 'card', 'info']",negative
"['scheduled', 'san', 'francisco', 'airport', '2', 'dallas', 'flight', '714', 'today', 'changed', '24th', 'due', 'weather', 'look', 'like', 'flight', 'still']",neutral
"['getaway', 'deal', 'may', '59', 'newly', 'lot', 'cool', 'city', 'cheapflights', 'farecompare']",positive
"['getaway', 'deal', 'may', '59', 'newly', 'lot', 'cool', 'city', 'cheapflights', 'farecompare']",neutral
"['getaway', 'deal', 'may', '59', 'newly', 'lot', 'cool', 'city', 'cheapflights', 'farecompare']",positive
"['getaway', 'deal', 'may', '59', 'newly', 'lot', 'cool', 'city', 'cheapflights', 'farecompare']",neutral
"['great', 'week', 'sun', 'face', 'airplane']",positive
"['come', 'back', 'phl', 'already', 'need', 'take', 'u', 'horrible', 'cold', 'pleasecomeback']",positive
"['concerned', 'fly', 'plane', 'need', 'delayed', 'due', 'tech', 'stop']",negative
"['best', 'airline', 'flown', 'uneasy', 'change', 'reservationhelpful', 'representative', 'amp', 'comfortable', 'flying', 'experience']",positive
"['another', 'rep', 'kicked', 'butt', 'ndelag', 'represents', 'team', 'beautifully', 'thank']",positive
"['beautiful', 'frontend', 'design', 'right', 'cool', 'still', 'book', 'ticket', 'bc', 'backend', 'secure']",positive
"['love', 'team', 'running', 'gate', 'e9', 'la', 'vega', 'tonight', 'waited', 'delayed', 'flight', 'kept', 'thing', 'entertaining']",positive
"['use', 'another', 'browser', '2015', 'amp', 'brand', 'reputation', 'built', 'tech', 'response', 'crossbrowser', 'compatible', 'website']",negative
"['flight', 'flight', 'booking', 'problem', 'site', 'totally', 'folk', 'problem']",negative
"['like', 'customer', 'service', '40', 'min', 'delay', 'connecting', 'passenger', 'seems', 'long', 'va370']",negative
"['thanks', 'outstanding', 'nycjfk', 'crew', 'moved', 'mountain', 'get', 'home', 'san', 'francisco', 'tonight']",positive
"['absolute', 'best', 'team', 'customer', 'service', 'ever', 'every', 'time', 'fly', 'delighted', 'thank']",positive
"['provide', 'complimentary', 'upgrade', 'first', 'class', 'available', 'seat']",neutral
"['need', 'change', 'flight', 'thats', 'scheduled', '9', 'hour', '120', 'min', 'wait', 'time', 'phone', 'im', 'calling', 'intern', 'help']",negative
"['completely', 'awesome', 'experience', 'last', 'month', 'bos', 'nonstop', 'thanks', 'awesome', 'flight', 'depart', 'time', 'vabeatsjblue']",positive
"['watch', 'oscars2015', 'jfkgtsfo', 'flight']",neutral
"['flight', '882', 'cancelled', 'lighted']",neutral
"['failing', 'customer', 'check', 'process', 'link', 'tsa', 'precheck']",negative
"['u', 'terrible', 'airline', 'gave', 'u', 'hotel', 'hotline', 'number', 'said', 'sorry']",negative
"['flight', 'number', '276', 'san', 'francisco', 'airport', 'cab', 'san', 'lucas', 'arrived', 'yet']",neutral
"['assistance', 'yesterday', 'cancelled', 'lighted', 'flight', 'give', 'u', 'hotel', 'hotline', 'shame']",negative
"['another', 'delayed', 'flight', 'likingyoulessandless']",negative
"['need', 'register', 'service', 'dog', 'first', 'class', 'ticket', 'san', 'francisco', 'airport', 'gt', 'rule', 'phone', 'queue', 'hour', 'longer', 'pls', 'advise']",negative
"['rock', 'making', 'watch', 'oscar', 'flight', 'redcarpet', 'oscar', 'oscars2015']",positive
"['dropped', 'track']",neutral
"['always', 'oxo']",positive
"['can', 'not', 'book', 'seat', 'flight', 'buy', 'even', 'check', 'creates', 'much', 'anxiety', 'frustrated']",negative
"['would', 'think', 'paying', 'extra', '100', 'buck', 'rt', 'luggage', 'might', 'afford', 'hiring', 'extra', 'hand', 'lame']",negative
"['best', 'customer', 'service', 'rep', 'world', 'irmafromdallas', 'take', 'cake']",positive
"['find', 'u', 'flt', 'los', 'angeles', 'airport', 'sooner', 'midnight', 'monday', 'would', 'great', 'customer', 'service', 'grinding', 'face', 'big', 'eye']",neutral
"['please', 'provide', 'status', 'flight', '769', 'cant', 'imagine', 'time', 'web', 'indicates', 'dude', 'weather', 'ndor', 'dallas']",negative
"['amazing', 'staff', 'amp', 'super', 'helpful', 'ran', 'princesshalf', 'spoiled', 'comfort']",positive
"['paid', 'premium', 'fly', 'across', 'country', 'cancelled', 'flight', 'flight', 'offer', 'check', 'fee', 'upgrade', 'love', 'sad', 'face', 'brown', 'sad', 'angry', 'posting']",negative
"['question', 'possible', 'book', 'seat', 'infant', '2', 'giving', 'option', 'want', 'seat']",negative
"['always', 'together', 'welcome', 'rt', 'welcome']",positive
"['flight', 'home', 'dc', 'sunset', 'globe', 'backtowinter', 'back', 'work', 'refreshed']",positive
"['understand', 'need', 'dm', 'give', 'answer', 'damaged', 'luggage', 'policy']",negative
"['mean', 'policy', 'destroyed', 'luggage']",negative
"['special', 'assistance', 'travel', 'alone', 'w2', 'kid', '1', 'infant', 'priority', 'boarding']",neutral
"['thank', 'checking', 'ticket', 'purchased', 'customer', 'happy']",positive
"['website', 'ever', 'coming', 'back', 'online']",neutral
"['flight', '713', 'love', 'field', 'san', 'francisco', 'airport', 'definitely', 'cancelled', 'lighted', 'monday', 'february', '23']",neutral
"['flight', '0769', 'lga', 'dfw', 'time']",neutral
"['driver', 'license', 'expired', 'little', 'month', 'fly', 'friday', 'morning', 'using', 'expired', 'license']",neutral
"['problem', 'flight', 'booking', 'problem', 'web', 'site', 'keep', 'giving', 'error', 'contact', 'phone', 'phone', '30', 'minute', 'wait']",negative
"['rescheduled', 'cancelled', 'lighted', 'flight', 'online', 'change', 'button', 'greed']",negative
"['rang', 'wait', '35', 'minute', 'book', 'ticket', 'vendor', 'fix', 'site']",negative
"['got', 'flight', 'told', '450', 'todaychecked', 'email', '450', 'tomorrow', 'unacceptable']",negative
"['flight', 'lga', 'cancelled', 'lighted', 'stuck', 'dallas', 'called', 'rescheduled', 'told', 'could', 'get', 'flight', 'today12']",negative
"['pairing', 'include', 'red', 'wine', 'white', 'offered', 'brown', 'sad', 'angry', 'posting', 'redwineisbetter']",negative
['website'],negative
"['site', 'seems', 'little', 'worked', 'right', 'may', 'want', 'look', 'tried', 'two', 'browser', 'cs']",negative
"['disappointed', 'agent', 'designated', 'silver', 'status', 'check', 'line', 'closed', 'assist', 'passenger']",negative
"['plan', 'include', 'austin', 'dallas', 'route', 'topnews', 'arab', 'emirate']",neutral
"['normal', 'receive', 'reply', 'central', 'baggage', 'baggageissues', 'smh']",negative
"['logan', 'airport', 'waiting', 'checking', '9am', 'flight', 'checking', 'desk', 'open']",negative
"['jump', 'dallasaustin', 'market']",neutral
"['beat', 'eps', 'view', 'take', 'southwestair', 'va', 'luv', 'investor', 'business', 'daily']",neutral
"['listed', 'show', 'monday', '1230', '130']",neutral
"['begin', 'dallasaustin', 'flight', 'april', '889', 'ker']",neutral
"['contrast', 'got', 'business', 'er', 'solar', 'fuck', 'fl1289', 'slower', 'clinched']",negative
"['applied', '2', 'week', 'ago', 'heard', 'back', 'flying', 'week', 'disappointed']",negative
"['would', 'love', 'know', 'policy', 'damaged', 'luggage']",neutral
"['thank', 'follow']",positive
"['many', 'apology', 'r', 'worse', 'airline', 'even', 'respond', 'customer']",negative
"['shame', 'va', 'making', 'people', 'spend', 'money', 'stranded', 'city', 'airline', 'landing', 'jfk', 'reimburse']",negative
['dm'],neutral
"['please', 'flight', 'sec', 'choice', 'fly', 'southwest', 'vega', 'weary', 'face', 'loudly', 'cry', 'face']",neutral
"['bad', 'say', 'take', '10', '14', 'day', 'via', 'confirmation', 'email', 'inquired', '3', 'week', 'claim', '6', '8', 'week']",negative
"['flight', 'boston', 'gt', 'la', 'vega', 'tomorrow', 'cancelled', 'lighted', 'notification', 'wait', 'time', '1', 'hour', 'ebook', 'another', 'airline']",negative
"['smiling', 'face', 'sunglass', 'rt', 'youve', 'met', 'match', 'got', 'status', 'another', 'airline', 'upgrade', 'rest']",positive
"['way', 'fly', 'elevate', 'gold']",positive
"['guy', 'flight', 'cmh']",neutral
"['lot', 'apology', 'thrown', 'customer', 'every', 'sad', 'thanks', 'nothing', 'worst', 'airline', 'ever']",negative
"['flight', 'stuff', 'wrong', 'nothing', 'worst', 'flight', 'ever']",negative
"['issue', 'finding', 'missing', 'item', 'plane', 'help', 'find', 'airport', 'plane', 'headed', 'next']",neutral
"['match', 'americanairlines', 'status', 'cool']",positive
"['met', 'mathbot', 'status', 'another', 'airline', 'upgrade', 'hearnoevil', 'monkey']",neutral
"['trying', 'book', 'flight', 'guy', 'website', 'let', 'lose', 'business']",negative
['suck'],negative
['thanks'],positive
"['dmy', 'issue', 'persistent']",negative
"['never', 'red', 'cancelled', 'flightlation', 'notice', 'left', 'w', 'option', 'fly', 'p', 'driving', 'la', 'red', 'eye', 'mon', 'w', 'kid']",negative
"['trying', 'book', 'flight', 'amp', 'site', 'beating', 'face', 'smiling', 'eye']",negative
"['flight', 'flying', 'boston', 'tomorrow', 'need', 'home', 'cancelled', 'lighted', 'flight', 'anything']",negative
"['stink', 'flight', 'cancelled', 'lighted', 'psp', 'jfk', 'notification', 'ability', 'ebook', 'disappointed', 'expected', 'better']",negative
"['love', 'guy', 'song', 'dancing', 'high', 'school', 'dance', 'revue']",positive
"['website', 'trying', 'check']",negative
"['done', 'thank', 'quick', 'response', 'apparently', 'faster', 'sitting', 'hold', 'wink', 'mark']",positive
"['nervous', 'flight', 'dc', 'los', 'angeles', 'airport', 'getting', 'cancelled', 'lighted', 'tomorrow', 'sent', 'dm', 'help']",neutral
"['cool', 'picture', 'another', 'virginamerica', 'plane', 'wing', 'site']",positive
"['keep', 'great', 'work', 'happy', 'face', 'smiley']",positive
"['goodness', 'people', 'field', 'amazing', 'pressure', 'red', 'heart', 'texas', 'beatstheothers', 'crisis', 'please', 'fly', 'ny']",positive
"['thanks', 'great', 'flight', 'la', 'boston', 'pilot', 'great', 'job', 'landing', 'snow', 'go', 'back', 'la', 'seriously']",positive
"['please', 'get', 'new', 'york', 'area', 'monday', 'afternoon']",neutral
"['thanks', 'much', 'awesome', 'support', 'guy', 'rock']",positive
"['seat', 'row', '8', 'decline', 'mention', 'website', 'comeback']",negative
"['flight', '404', 'delayed', '2', 'hour', 'la', 'due', 'mechanical', 'problem', 'handle', 'like', 'pro', 'could', 'tossed', 'u', 'free', 'drink']",negative
"['cancelled', 'flight', 'flight', 'today', 'precipitation', 'scared', 'snowflake', 'snowflake', 'snowflake']",negative
"['twitter', 'team', 'guy', 'killed', 'scheduling', 'asap', 'thank']",positive
"['guy', 'charged', '100', 'rescheduled', 'flight', 'cancelled', 'lighted', 'refusing', 'refund', 'deal']",negative
"['cant', 'access', 'website', 'safari', 'iphone', '6', 'seems', 'work', 'mac', 'ipad', 'need', 'iphone', 'add', 'passbook']",negative
"['ipad', 'iphone', 'clicking', 'checking', 'link', 'email', 'received', '24hrs', 'flight']",neutral
"['mobile', 'site', 'broken', 'show', 'headerelevateusernumofpointsavailable', '0', 'number', 'point', 'let', 'checking']",negative
"['really', 'looking', 'forward', 'flight', 'let', 'know', 'rescheduled', 'diehardvirgin']",negative
"['cancelled', 'flight', 'flight', 'vx413', 'one', 'sec', 'delayed', 'airport', 'next', 'cancelled', 'flightledgonna', 'email', 'call', 'rescheduled']",negative
"['problem', 'link', 'email', 'checking', 'thanks']",negative
"['change', 'another', 'airline', 'get', 'dc', 'today', 'able', 'land', 'dc', 'cost', '800', 'gh']",negative
"['looking', 'forward', 'first', 'flight', 'today', 'cancelled', 'lighted', 'along', 'subsequent', 'one']",negative
"['putting', 'great', 'deal', 'px', 'la', 'vega', 'la', 'vega', 'px', 'show', 'love']",positive
"['wish', 'afford', 'fly', 'next', 'friday', 'going', 'back', 'home', 'love', 'everything', 'airline']",positive
"['gon', 'na', 'deal', 'dallas', 'dc', 'deal', 'dc', 'dallas', 'sad']",negative
"['bug', 'report', 'guy']",neutral
"['hold', 'time', 'call', 'center', 'bit', 'much']",negative
['like'],positive
"['site', 'help']",negative
"['best', 'flight', 'attendant', 'ever']",positive
"['awesome', 'rt', 'watch', 'nominated', 'film', '35000', 'foot', 'meetthefleet', 'oscar']",positive
"['thanks', 'much']",positive
"['trying', 'reset', 'password', 'email', 'never', 'arrives', 'help']",negative
"['airline', 'based', 'silicon', 'valley', 'disruption', 'fcmostinnovative', 'incubator']",positive
"['nicely', 'done', 'clipping', 'hand']",positive
"['im', 'looking', 'forward', 'watching', 'oscar', 'flight', 'home', 'tomorrow', 'might', 'even', 'get', 'something', 'bubble', 'drink', 'wink', 'mark']",positive
"['reason', 'delay', 'departure', 'vx', '413', 'jfk', 'afternoon']",negative
"['today', 'flight', 'palm', 'spring', 'ca', 'jfk', 'ny', 'cancelled', 'lighted']",negative
"['haha', 'face', 'tear', 'joy', 'guy', 'amazing', 'love', 'guy', 'growing', 'heart']",positive
"['sound', 'like', 'fun']",positive
"['update', 'flight', '413', 'jfk', 'gt', 'los', 'angeles', 'airport']",neutral
"['spruce', 'moose']",neutral
"['cs', 'site', '404', 'right', 'please', 'fix', 'site', 'unusable']",negative
"['flight', '910', 'vega', 'boston', 'today', 'checked', 'online', 'bag', 'count', 'register', 'fix', 'somehow']",negative
"['classis', 'luv', 'virgin', 'america', 'greeting']",positive
"['hi', 'trying', 'checking', 'website', 'working', 'tried', '3', 'different', 'browser', 'problem', 'continues']",negative
"['thanks', 'great', 'customer', 'service', 'today', 'amp', 'helping', 'get', 'travel', 'sorted']",positive
"['thanks', 'guy', 'sweet', 'route', 'rookie', 'airplanemodewason']",positive
"['love', '90', 'music', 'blasting', 'gate', 'boston', 'waiting', 'flight', 'sanfrancisco', 'could', 'get', 'iced', 'coffee']",positive
"['passenger', '7d', 'flt', '338', 'assaulted', 'flown', 'trust', 'banned', 'crew', 'filed', 'report']",negative
"['current', 'bug', 'website', 'show', 'select', 'departure', 'city', 'selecting', 'destination', 'city']",negative
"['luggage', 'severely', 'dentedmissing', 'wheel', 'coming', 'baggage', 'claim', 'san', 'luggage', 'agent', 'miranda', 'think', 'help']",negative
"['thank', 'easy', 'itinerary', 'shift', 'impending', 'weather', 'quick', 'painter', 'amp', 'free']",positive
"['would', 'love', 'see', 'girl', 'inspired', 'become', 'pilot', 'rt', 'free', 'wow', 'event', 'march', '28', 'ab']",neutral
"['thanks', 'good', 'time', 'back', 'vodkatonics', 'entire', 'flight', 'cocktail', 'glass', 'sfo']",positive
"['beat', 'expectation', 'share', 'take', 'santa', 'cruz', 'sentinel']",neutral
"['plan', 'start', 'flying', 'direct', 'dallas', 'la']",neutral
"['big', 'lovegratitudempower', 'w', 'weren', 'oscars2105', 'vipswagbags', 'avalonhollywood']",neutral
"['great', 'job', 'adding', 'little', 'luxuriesaesthetics', 'improve', 'air', 'travel', 'experience', 'thank', 'keep']",positive
"['requested', 'window', 'seat', 'confirmed', 'window', 'got', 'stuck', 'middle', 'seat', 'good', 'way', 'treat', 'silver', 'member', 'unused', 'face']",negative
"['grand', 'budapest', 'hotel', 'oscarscountdown']",neutral
"['missed', 'next', 'trip', '407']",neutral
"['wtf', 'paid', 'direct', 'flight', 'purpose', 'stop', 'fuel', 'exhausted', 'frequent', 'fly', 'nothing', 'inconvenience']",negative
"['something', 'wrong', 'website', 'safari', 'iphone']",negative
"['thanks', 'gate', 'checking', 'baggage', 'full', 'flight', 'flax', '883', 'giving', 'early', 'boarding', 'sweet']",positive
"['already', 'checked', 'page', 'expired', 'sealed', 'lip', 'wearing', 'brace', 'tonguetied']",negative
"['boo', 'funding', 'seat', 'upgrade', 'fee', 'want', 'buy', 'first', 'place']",negative
"['share', 'rise', 'q4', 'financial', 'result', 'usa', 'today']",neutral
"['add', 'pillow', 'instead', 'lieflat', 'seat', 'first', 'class', 'arm', 'race']",neutral
"['see', 'wink', 'mark']",positive
"['way', 'take', 'advantage', 'mayweatherpacquiao', 'happy', 'face', 'smiley']",neutral
"['know', 'flying', 'virgin', 'fight', 'mayweatherpacquiao']",neutral
"['flight', 'team', 'make', 'experience', 'amazing']",positive
"['test', 'salt', 'pepper', 'shaker', 'ever', 'think', 'guy', 'can', 'not', 'get', 'better']",positive
"['moved', 'seat', 'notice', 'better', 'seat', 'cabin', 'select', 'behind', 'row', 'selected', 'thumb', 'disappointed']",negative
"['share', '4q', 'result']",neutral
"['far', 'airline']",positive
"['hot', 'female', 'pilot', 'sweet', 'washington', 'dc', 'sfo', 'happy', 'face', 'smiley']",positive
"['thumb', 'thumb', 'airplane', 'airplane', 'growing', 'heart', 'guy', 'going', 'start', 'flying', 'paris', 'welcome']",neutral
"['policy', 'flying', 'surgery', 'still', 'waiting', 'answer', 'tell', 'doctor']",neutral
"['already', 'contacted', 'central', 'baggage', 'amp', 'sent', 'dm', 'charging', 'dress', 'lost', 'suitcase', 'help']",negative
['thank'],positive
"['anything', 'going', 'website', 'getting', 'lot', 'error', 'past', '30', 'minute']",negative
"['think', 'left', 'something', 'plane', 'yesterday', 'called']",neutral
"['need', 'follow', 'back', 'order', 'dm']",neutral
"['need', 'start', 'flying', 'smiling', 'face', 'smiling', 'eye', 'grinding', 'face', 'grinding', 'face', 'big', 'eye', 'grinding', 'face', 'smiling', 'eye']",neutral
"['told', 'check', 'airline', 'regulation', 'first', 'contacted']",neutral
"['checked', 'flight', 'san', 'francisco', 'airport', 'los', 'angeles', 'airport', 'amp', 'told', 'atlantic', 'flying', 'club', 'gold', 'get', 'benefit']",negative
"['husband', 'ordered', 'three', 'drink', 'via', 'screen', 'never', 'came', 'awesome']",negative
"['soon', 'guy', 'going', 'leave', 'seatbelt', 'light', 'flight', 'barely', 'call', 'turbulence', 'happy', 'face', 'smiley']",negative
"['policy', 'flying', 'surgery']",neutral
"['post', 'second', 'consecutive', 'fuller', 'net', 'profit']",neutral
